Game,Actions,Branching factor
haunted_house,18,7.70
solaris,18,7.40
double_dunk,18,7.15
zaxxon,18,5.01
boxing,18,3.92
assault,7,3.61
video_pinball,9,3.42
yars_revenge,18,3.17
road_runner,18,3.17
laser_gates,18,3.11
gravitar,18,3.11
darkchambers,18,3.10
sir_lancelot,6,2.98
trondead,18,2.87
space_war,18,2.86
enduro,9,2.66
word_zapper,18,2.66
pitfall2,18,2.63
jamesbond,18,2.60
asteroids,14,2.42
robotank,18,2.32
private_eye,18,2.32
tennis,18,2.18
centipede,18,2.14
earthworld,18,1.95
bank_heist,18,1.88
basic_math,6,1.88
air_raid,6,1.81
backgammon,3,1.61
adventure,18,1.59
crossbow,18,1.59
entombed,18,1.58
skiing,3,1.58
berzerk,18,1.54
phoenix,8,1.49
asterix,9,1.48
montezuma_revenge,18,1.45
donkey_kong,18,1.41
carnival,6,1.41
pitfall,18,1.39
miniature_golf,18,1.39
journey_escape,16,1.38
human_cannonball,18,1.35
elevator_action,18,1.35
breakout,4,1.30
demon_attack,6,1.30
alien,18,1.25
tutankham,8,1.24
fishing_derby,18,1.24
keystone_kapers,14,1.22
superman,18,1.20
atlantis2,4,1.19
atlantis,4,1.19
lost_luggage,9,1.19
up_n_down,6,1.17
riverraid,18,1.16
chopper_command,18,1.13
frostbite,18,1.12
mario_bros,18,1.11
ice_hockey,18,1.11
galaxian,6,1.11
venture,18,1.10
krull,18,1.10
videocube,18,1.10
hero,18,1.10
battle_zone,18,1.09
surround,5,1.08
seaquest,18,1.08
kaboom,4,1.08
hangman,18,1.07
othello,10,1.07
pacman,5,1.07
space_invaders,6,1.07
flag_capture,18,1.07
tetris,5,1.07
defender,18,1.06
pong,6,1.06
videochess,10,1.06
time_pilot,10,1.06
et,18,1.05
video_checkers,5,1.04
turmoil,12,1.04
bowling,6,1.04
wizard_of_wor,10,1.04
kangaroo,18,1.04
star_gunner,18,1.04
beam_rider,9,1.04
pooyan,6,1.03
amidar,10,1.03
mr_do,10,1.03
ms_pacman,9,1.03
kung_fu_master,14,1.03
qbert,6,1.03
crazy_climber,9,1.03
name_this_game,6,1.03
frogger,5,1.02
casino,4,1.02
blackjack,4,1.02
freeway,3,1.02
king_kong,6,1.01
koolaid,9,1.01
gopher,8,1.01
tic_tac_toe_3d,10,1.01
