game,num_actions,use_paddles
adventure,18,0
air_raid,6,0
alien,18,0
amidar,10,0
assault,7,0
asterix,9,0
asteroids,14,0
atlantis2,4,0
atlantis,4,0
backgammon,3,1
bank_heist,18,0
basic_math,6,0
battle_zone,18,0
beam_rider,9,0
berzerk,18,0
blackjack,4,1
bowling,6,0
boxing,18,0
breakout,4,1
carnival,6,0
casino,4,1
centipede,18,0
chopper_command,18,0
crazy_climber,9,0
crossbow,18,0
darkchambers,18,0
defender,18,0
demon_attack,6,0
donkey_kong,18,0
double_dunk,18,0
earthworld,18,0
elevator_action,18,0
enduro,9,0
entombed,18,0
et,18,0
fishing_derby,18,0
flag_capture,18,0
freeway,3,0
frogger,5,0
frostbite,18,0
galaxian,6,0
gopher,8,0
gravitar,18,0
hangman,18,0
haunted_house,18,0
hero,18,0
human_cannonball,18,0
ice_hockey,18,0
jamesbond,18,0
journey_escape,16,0
kaboom,4,1
kangaroo,18,0
keystone_kapers,14,0
king_kong,6,0
koolaid,9,0
krull,18,0
kung_fu_master,14,0
laser_gates,18,0
lost_luggage,9,0
mario_bros,18,0
miniature_golf,18,0
montezuma_revenge,18,0
mr_do,10,0
ms_pacman,9,0
name_this_game,6,0
othello,10,0
pacman,5,0
phoenix,8,0
pitfall2,18,0
pitfall,18,0
pong,6,1
pooyan,6,0
private_eye,18,0
qbert,6,0
riverraid,18,0
road_runner,18,0
robotank,18,0
seaquest,18,0
sir_lancelot,6,0
skiing,3,0
solaris,18,0
space_invaders,6,0
space_war,18,0
star_gunner,18,0
superman,18,0
surround,5,0
tennis,18,0
tetris,5,0
tic_tac_toe_3d,10,0
time_pilot,10,0
trondead,18,0
turmoil,12,0
tutankham,8,0
up_n_down,6,0
venture,18,0
video_checkers,5,0
videochess,10,0
videocube,18,0
video_pinball,9,0
wizard_of_wor,10,0
word_zapper,18,0
yars_revenge,18,0
zaxxon,18,0
